STATE,COUNTY,STATION_ID,DIR,URB_RURAL,F_SYSTEM,ROUTE_SIGN,ROUTE_NUMBER,LAT,LONG,STATE_NAME,COUNTY_NAME,REPCTY
1.0,97.0,000738,3.0,U,1.0,2.0,10.0,30.631765,-88.106075,AL,Mobile County,97
1.0,97.0,000738,7.0,U,1.0,2.0,10.0,30.631765,-88.106075,AL,Mobile County,97
1.0,97.0,000740,3.0,U,1.0,2.0,10.0,30.65195,-88.070651,AL,Mobile County,97
1.0,97.0,000740,7.0,U,1.0,2.0,10.0,30.65195,-88.070651,AL,Mobile County,97
1.0,97.0,000742,3.0,U,1.0,2.0,10.0,30.664512,-88.052634,AL,Mobile County,97
1.0,97.0,000742,7.0,U,1.0,2.0,10.0,30.664512,-88.052634,AL,Mobile County,97
1.0,97.0,000744,3.0,U,1.0,2.0,10.0,30.67883,-88.043201,AL,Mobile County,97
1.0,97.0,000744,7.0,U,1.0,2.0,10.0,30.67883,-88.043201,AL,Mobile County,97
1.0,97.0,000774,3.0,U,1.0,2.0,10.0,30.586001,-88.161597,AL,Mobile County,97
1.0,97.0,000774,7.0,U,1.0,2.0,10.0,30.586001,-88.161597,AL,Mobile County,97
1.0,97.0,000806,1.0,U,1.0,2.0,10.0,30.688727,-88.040089,AL,Mobile County,97
1.0,97.0,000806,3.0,U,1.0,2.0,10.0,30.689506,-88.037407,AL,Mobile County,97
1.0,97.0,000806,5.0,U,1.0,2.0,10.0,30.688727,-88.040089,AL,Mobile County,97
1.0,97.0,000806,7.0,U,1.0,2.0,10.0,30.689506,-88.037407,AL,Mobile County,97
1.0,97.0,000807,7.0,U,1.0,2.0,10.0,30.68588,-88.042323,AL,Mobile County,97
1.0,97.0,000808,3.0,U,1.0,2.0,10.0,30.686625,-88.041766,AL,Mobile County,97
1.0,97.0,000810,3.0,U,1.0,2.0,10.0,30.691798,-88.02915,AL,Mobile County,97
1.0,97.0,000810,7.0,U,1.0,2.0,10.0,30.691798,-88.02915,AL,Mobile County,97
1.0,97.0,000961,1.0,U,1.0,2.0,65.0,30.888363,-88.025668,AL,Mobile County,97
1.0,97.0,000961,5.0,U,1.0,2.0,65.0,30.888363,-88.025668,AL,Mobile County,97
1.0,97.0,000963,3.0,R,1.0,2.0,10.0,30.498566,-88.323688,AL,Mobile County,97
1.0,97.0,000963,7.0,R,1.0,2.0,10.0,30.498566,-88.323688,AL,Mobile County,97
1.0,47.0,000015,1.0,R,3.0,4.0,5.0,32.455742,-87.362864,AL,Dallas County,97
1.0,47.0,000015,5.0,R,3.0,4.0,5.0,32.455742,-87.362864,AL,Dallas County,97
1.0,47.0,000045,3.0,R,3.0,4.0,8.0,32.439611,-87.291046,AL,Dallas County,97
1.0,47.0,000045,7.0,R,3.0,4.0,8.0,32.439611,-87.291046,AL,Dallas County,97
1.0,79.0,000016,1.0,R,3.0,4.0,157.0,34.500414,-87.283412,AL,Lawrence County,49
1.0,79.0,000016,5.0,R,3.0,4.0,157.0,34.500414,-87.283412,AL,Lawrence County,49
1.0,79.0,000027,1.0,R,5.0,4.0,33.0,34.500333,-87.292009,AL,Lawrence County,49
1.0,79.0,000027,5.0,R,5.0,4.0,33.0,34.500333,-87.292009,AL,Lawrence County,49
1.0,103.0,000022,1.0,R,3.0,4.0,67.0,34.482174,-86.825842,AL,Morgan County,97
1.0,103.0,000022,5.0,R,3.0,4.0,67.0,34.482174,-86.825842,AL,Morgan County,97
1.0,103.0,000293,1.0,U,3.0,4.0,67.0,34.561671,-86.980225,AL,Morgan County,97
1.0,103.0,000293,5.0,U,3.0,4.0,67.0,34.561671,-86.980225,AL,Morgan County,97
1.0,103.0,000680,3.0,U,3.0,4.0,36.0,34.449283,-86.910437,AL,Morgan County,97
1.0,103.0,000680,7.0,U,3.0,4.0,36.0,34.449283,-86.910437,AL,Morgan County,97
1.0,103.0,000708,3.0,R,4.0,4.0,36.0,34.446415,-86.775012,AL,Morgan County,97
1.0,103.0,000708,7.0,R,4.0,4.0,36.0,34.446415,-86.775012,AL,Morgan County,97
1.0,3.0,000024,3.0,U,4.0,4.0,16.0,30.638166,-87.80149,AL,Baldwin County,89
1.0,3.0,000024,7.0,U,4.0,4.0,16.0,30.638166,-87.80149,AL,Baldwin County,89
1.0,3.0,000030,3.0,R,3.0,4.0,42.0,30.4145,-87.49994,AL,Baldwin County,89
1.0,3.0,000030,7.0,R,3.0,4.0,42.0,30.4145,-87.49994,AL,Baldwin County,89
1.0,3.0,000031,1.0,U,3.0,4.0,59.0,30.329407,-87.683026,AL,Baldwin County,89
1.0,3.0,000031,5.0,U,3.0,4.0,59.0,30.329407,-87.683026,AL,Baldwin County,89
1.0,3.0,000032,1.0,U,3.0,4.0,59.0,30.283723,-87.686463,AL,Baldwin County,89
1.0,3.0,000032,5.0,U,3.0,4.0,59.0,30.283723,-87.686463,AL,Baldwin County,89
1.0,3.0,000709,3.0,U,1.0,2.0,10.0,30.651806,-87.753941,AL,Baldwin County,89
1.0,3.0,000709,7.0,U,1.0,2.0,10.0,30.651806,-87.753941,AL,Baldwin County,89
1.0,3.0,000713,3.0,U,3.0,4.0,182.0,30.256483,-87.638112,AL,Baldwin County,89
1.0,3.0,000713,7.0,U,3.0,4.0,182.0,30.256483,-87.638112,AL,Baldwin County,89
1.0,3.0,000725,1.0,R,1.0,2.0,65.0,30.960433,-87.779141,AL,Baldwin County,89
1.0,3.0,000725,5.0,R,1.0,2.0,65.0,30.960433,-87.779141,AL,Baldwin County,89
1.0,3.0,000726,1.0,R,1.0,2.0,65.0,31.039277,-87.6203,AL,Baldwin County,89
1.0,3.0,000726,5.0,R,1.0,2.0,65.0,31.039277,-87.6203,AL,Baldwin County,89
1.0,3.0,000727,3.0,U,3.0,4.0,16.0,30.584739,-87.727291,AL,Baldwin County,89
1.0,3.0,000727,7.0,U,3.0,4.0,16.0,30.584739,-87.727291,AL,Baldwin County,89
1.0,3.0,000734,1.0,U,3.0,4.0,59.0,30.654743,-87.760514,AL,Baldwin County,89
1.0,3.0,000734,5.0,U,3.0,4.0,59.0,30.654743,-87.760514,AL,Baldwin County,89
1.0,3.0,000736,3.0,R,1.0,2.0,10.0,30.575318,-87.418035,AL,Baldwin County,89
1.0,3.0,000736,7.0,R,1.0,2.0,10.0,30.575318,-87.418035,AL,Baldwin County,89
1.0,3.0,000770,1.0,R,4.0,6.0,83.0,30.483546,-87.66569,AL,Baldwin County,89
1.0,3.0,000770,5.0,R,4.0,6.0,83.0,30.483546,-87.66569,AL,Baldwin County,89
1.0,3.0,000771,1.0,R,4.0,6.0,83.0,30.588285,-87.666025,AL,Baldwin County,89
1.0,3.0,000771,5.0,R,4.0,6.0,83.0,30.588285,-87.666025,AL,Baldwin County,89
1.0,3.0,000772,3.0,U,1.0,2.0,10.0,30.651856,-87.772131,AL,Baldwin County,89
1.0,3.0,000772,7.0,U,1.0,2.0,10.0,30.651856,-87.772131,AL,Baldwin County,89
1.0,3.0,000773,3.0,U,1.0,2.0,10.0,30.661705,-87.865915,AL,Baldwin County,89
1.0,3.0,000773,7.0,U,1.0,2.0,10.0,30.661705,-87.865915,AL,Baldwin County,89
1.0,3.0,000916,1.0,R,1.0,2.0,65.0,30.997782,-87.68768,AL,Baldwin County,89
1.0,3.0,000916,5.0,R,1.0,2.0,65.0,30.997782,-87.68768,AL,Baldwin County,89
1.0,3.0,000981,3.0,R,1.0,2.0,10.0,30.574716,-87.415254,AL,Baldwin County,89
1.0,3.0,000981,7.0,R,1.0,2.0,10.0,30.574716,-87.415254,AL,Baldwin County,89
1.0,3.0,000983,0.0,U,3.0,4.0,42.0,30.406853,-87.434321,AL,Baldwin County,89
1.0,3.0,000983,3.0,U,3.0,4.0,42.0,30.406853,-87.434321,AL,Baldwin County,89
1.0,3.0,000983,7.0,U,3.0,4.0,42.0,30.406853,-87.434321,AL,Baldwin County,89
1.0,3.0,013001,1.0,R,1.0,2.0,65.0,30.949284,-87.857319,AL,Baldwin County,89
1.0,3.0,013001,5.0,R,1.0,2.0,65.0,30.949284,-87.857319,AL,Baldwin County,89
1.0,3.0,013002,1.0,R,1.0,2.0,65.0,30.96438,-87.759607,AL,Baldwin County,89
1.0,3.0,013002,5.0,R,1.0,2.0,65.0,30.96438,-87.759607,AL,Baldwin County,89
1.0,57.0,000029,3.0,R,5.0,4.0,18.0,33.736263,-87.912273,AL,Fayette County,97
1.0,57.0,000029,7.0,R,5.0,4.0,18.0,33.736263,-87.912273,AL,Fayette County,97
1.0,101.0,000034,3.0,U,3.0,6.0,402.0,32.380369,-86.286308,AL,Montgomery County,89
1.0,101.0,000034,7.0,U,3.0,6.0,402.0,32.380369,-86.286308,AL,Montgomery County,89
1.0,101.0,000044,1.0,U,4.0,1.0,85.0,32.366301,-86.103165,AL,Montgomery County,89
1.0,101.0,000044,5.0,U,4.0,1.0,85.0,32.366301,-86.103165,AL,Montgomery County,89
1.0,101.0,000172,1.0,U,1.0,2.0,85.0,32.358551,-86.252527,AL,Montgomery County,89
1.0,101.0,000172,5.0,U,1.0,2.0,85.0,32.358551,-86.252527,AL,Montgomery County,89
1.0,101.0,000177,1.0,U,1.0,2.0,85.0,32.367539,-86.316454,AL,Montgomery County,89
1.0,101.0,000177,5.0,U,1.0,2.0,85.0,32.367539,-86.316454,AL,Montgomery County,89
1.0,101.0,000274,1.0,U,4.0,6.0,46.0,32.331614,-86.299265,AL,Montgomery County,89
1.0,101.0,000274,5.0,U,4.0,6.0,46.0,32.331614,-86.299265,AL,Montgomery County,89
1.0,101.0,000702,3.0,U,2.0,4.0,152.0,32.408465,-86.306076,AL,Montgomery County,89
1.0,101.0,000702,7.0,U,2.0,4.0,152.0,32.408465,-86.306076,AL,Montgomery County,89
1.0,101.0,000912,3.0,U,2.0,4.0,152.0,32.421852,-86.239286,AL,Montgomery County,89
1.0,101.0,000912,7.0,U,2.0,4.0,152.0,32.421852,-86.239286,AL,Montgomery County,89
1.0,101.0,000942,1.0,R,3.0,4.0,53.0,32.015528,-86.030231,AL,Montgomery County,89
1.0,101.0,000942,5.0,R,3.0,4.0,53.0,32.015528,-86.030231,AL,Montgomery County,89
1.0,25.0,000039,1.0,R,3.0,4.0,13.0,31.863279,-87.746896,AL,Clarke County,97
1.0,25.0,000039,5.0,R,3.0,4.0,13.0,31.863279,-87.746896,AL,Clarke County,97
1.0,25.0,000960,3.0,R,3.0,4.0,12.0,31.647349,-87.708194,AL,Clarke County,97
1.0,25.0,000960,7.0,R,3.0,4.0,12.0,31.647349,-87.708194,AL,Clarke County,97
1.0,17.0,000047,1.0,R,1.0,2.0,85.0,32.730691,-85.293339,AL,Chambers County,97
1.0,17.0,000047,5.0,R,1.0,2.0,85.0,32.730691,-85.293339,AL,Chambers County,97
1.0,125.0,000050,1.0,R,1.0,2.0,59.0,33.19757,-87.237023,AL,Tuscaloosa County,89
1.0,125.0,000050,5.0,R,1.0,2.0,59.0,33.19757,-87.237023,AL,Tuscaloosa County,89
1.0,125.0,000051,1.0,U,1.0,2.0,59.0,33.17193,-87.435239,AL,Tuscaloosa County,89
1.0,125.0,000051,5.0,U,1.0,2.0,59.0,33.17193,-87.435239,AL,Tuscaloosa County,89
1.0,125.0,000631,1.0,U,3.0,4.0,7.0,33.167424,-87.531632,AL,Tuscaloosa County,89
1.0,125.0,000631,5.0,U,3.0,4.0,7.0,33.167424,-87.531632,AL,Tuscaloosa County,89
1.0,125.0,000632,3.0,U,3.0,4.0,215.0,33.197408,-87.505073,AL,Tuscaloosa County,89
1.0,125.0,000632,7.0,U,3.0,4.0,215.0,33.197408,-87.505073,AL,Tuscaloosa County,89
1.0,125.0,000633,3.0,U,3.0,4.0,6.0,33.22626,-87.532733,AL,Tuscaloosa County,89
1.0,125.0,000633,7.0,U,3.0,4.0,6.0,33.22626,-87.532733,AL,Tuscaloosa County,89
1.0,83.0,000059,3.0,R,3.0,4.0,2.0,34.791603,-87.069392,AL,Limestone County,97
1.0,83.0,000059,7.0,R,3.0,4.0,2.0,34.791603,-87.069392,AL,Limestone County,97
1.0,83.0,000409,1.0,R,1.0,2.0,565.0,34.631364,-86.887034,AL,Limestone County,97
1.0,83.0,000409,5.0,R,1.0,2.0,565.0,34.631364,-86.887034,AL,Limestone County,97
1.0,83.0,000410,1.0,R,1.0,2.0,565.0,34.63532,-86.858838,AL,Limestone County,97
1.0,83.0,000410,5.0,R,1.0,2.0,565.0,34.63532,-86.858838,AL,Limestone County,97
1.0,83.0,000411,1.0,R,1.0,2.0,565.0,34.649272,-86.821934,AL,Limestone County,97
1.0,83.0,000411,5.0,R,1.0,2.0,565.0,34.649272,-86.821934,AL,Limestone County,97
1.0,83.0,000831,1.0,U,1.0,2.0,65.0,34.860988,-86.926172,AL,Limestone County,97
1.0,83.0,000831,5.0,U,1.0,2.0,65.0,34.860988,-86.926172,AL,Limestone County,97
1.0,83.0,000931,1.0,U,1.0,2.0,65.0,34.844265,-86.933186,AL,Limestone County,97
1.0,83.0,000931,5.0,U,1.0,2.0,65.0,34.844265,-86.933186,AL,Limestone County,97
1.0,107.0,000066,3.0,R,3.0,4.0,6.0,33.490822,-88.274332,AL,Pickens County,97
1.0,107.0,000066,7.0,R,3.0,4.0,6.0,33.490822,-88.274332,AL,Pickens County,97
1.0,53.0,000067,1.0,R,3.0,4.0,113.0,31.179474,-87.298645,AL,Escambia County,97
1.0,53.0,000067,5.0,R,3.0,4.0,113.0,31.179474,-87.298645,AL,Escambia County,97
1.0,53.0,000984,1.0,U,4.0,4.0,21.0,31.007015,-87.493764,AL,Escambia County,97
1.0,53.0,000984,5.0,U,4.0,4.0,21.0,31.007015,-87.493764,AL,Escambia County,97
1.0,53.0,013004,1.0,R,1.0,2.0,65.0,31.197347,-87.31856,AL,Escambia County,97
1.0,53.0,013004,5.0,R,1.0,2.0,65.0,31.197347,-87.31856,AL,Escambia County,97
1.0,119.0,000070,1.0,R,1.0,2.0,59.0,32.466293,-88.371325,AL,Sumter County,49
1.0,119.0,000070,5.0,R,1.0,2.0,59.0,32.466293,-88.371325,AL,Sumter County,49
1.0,119.0,000706,1.0,R,1.0,2.0,59.0,32.6402,-88.199306,AL,Sumter County,49
1.0,119.0,000706,5.0,R,1.0,2.0,59.0,32.6402,-88.199306,AL,Sumter County,49
1.0,119.0,000908,1.0,R,1.0,2.0,59.0,32.714567,-88.127143,AL,Sumter County,49
1.0,119.0,000908,5.0,R,1.0,2.0,59.0,32.714567,-88.127143,AL,Sumter County,49
1.0,5.0,000074,1.0,U,3.0,4.0,1.0,31.904983,-85.148305,AL,Barbour County,97
1.0,5.0,000074,5.0,U,3.0,4.0,1.0,31.904983,-85.148305,AL,Barbour County,97
1.0,55.0,000106,0.0,U,1.0,2.0,759.0,33.991673,-86.02506,AL,Etowah County,97
1.0,55.0,000106,1.0,U,1.0,2.0,759.0,33.991673,-86.02506,AL,Etowah County,97
1.0,55.0,000106,5.0,U,1.0,2.0,759.0,33.991673,-86.02506,AL,Etowah County,97
1.0,55.0,000263,1.0,U,4.0,4.0,211.0,34.040614,-86.019771,AL,Etowah County,97
1.0,55.0,000263,5.0,U,4.0,4.0,211.0,34.040614,-86.019771,AL,Etowah County,97
1.0,73.0,000114,1.0,U,1.0,2.0,459.0,33.339521,-87.01774,AL,Jefferson County,73
1.0,73.0,000114,5.0,U,1.0,2.0,459.0,33.339521,-87.01774,AL,Jefferson County,73
1.0,73.0,000115,1.0,U,1.0,2.0,459.0,33.332907,-86.983932,AL,Jefferson County,73
1.0,73.0,000115,5.0,U,1.0,2.0,459.0,33.332907,-86.983932,AL,Jefferson County,73
1.0,73.0,000116,1.0,U,1.0,2.0,459.0,33.341489,-86.903099,AL,Jefferson County,73
1.0,73.0,000116,5.0,U,1.0,2.0,459.0,33.341489,-86.903099,AL,Jefferson County,73
1.0,73.0,000117,1.0,U,1.0,2.0,459.0,33.465345,-86.709956,AL,Jefferson County,73
1.0,73.0,000117,5.0,U,1.0,2.0,459.0,33.465345,-86.709956,AL,Jefferson County,73
1.0,73.0,000118,1.0,U,1.0,2.0,459.0,33.518978,-86.673937,AL,Jefferson County,73
1.0,73.0,000118,5.0,U,1.0,2.0,459.0,33.518978,-86.673937,AL,Jefferson County,73
1.0,73.0,000119,1.0,U,1.0,2.0,459.0,33.536278,-86.646001,AL,Jefferson County,73
1.0,73.0,000119,5.0,U,1.0,2.0,459.0,33.536278,-86.646001,AL,Jefferson County,73
1.0,73.0,000122,1.0,U,1.0,2.0,459.0,33.553739,-86.641063,AL,Jefferson County,73
1.0,73.0,000122,5.0,U,1.0,2.0,459.0,33.553739,-86.641063,AL,Jefferson County,73
1.0,73.0,000123,1.0,U,1.0,2.0,459.0,33.586798,-86.644658,AL,Jefferson County,73
1.0,73.0,000123,5.0,U,1.0,2.0,459.0,33.586798,-86.644658,AL,Jefferson County,73
1.0,73.0,000129,1.0,U,1.0,2.0,459.0,33.594952,-86.649807,AL,Jefferson County,73
1.0,73.0,000129,5.0,U,1.0,2.0,459.0,33.594952,-86.649807,AL,Jefferson County,73
1.0,73.0,000134,1.0,U,1.0,2.0,459.0,33.389382,-86.795555,AL,Jefferson County,73
1.0,73.0,000134,5.0,U,1.0,2.0,459.0,33.389382,-86.795555,AL,Jefferson County,73
1.0,73.0,000142,1.0,U,1.0,2.0,65.0,33.416861,-86.81211,AL,Jefferson County,73
1.0,73.0,000142,5.0,U,1.0,2.0,65.0,33.416861,-86.81211,AL,Jefferson County,73
1.0,73.0,000146,1.0,U,1.0,2.0,459.0,33.380724,-86.814663,AL,Jefferson County,73
1.0,73.0,000146,5.0,U,1.0,2.0,459.0,33.380724,-86.814663,AL,Jefferson County,73
1.0,73.0,000148,1.0,U,1.0,2.0,459.0,33.424235,-86.747597,AL,Jefferson County,73
1.0,73.0,000148,5.0,U,1.0,2.0,459.0,33.424235,-86.747597,AL,Jefferson County,73
1.0,73.0,000155,1.0,U,1.0,2.0,65.0,33.54383,-86.826916,AL,Jefferson County,73
1.0,73.0,000155,5.0,U,1.0,2.0,65.0,33.54383,-86.826916,AL,Jefferson County,73
1.0,73.0,000162,1.0,U,1.0,2.0,59.0,33.520538,-86.820876,AL,Jefferson County,73
1.0,73.0,000162,5.0,U,1.0,2.0,59.0,33.520538,-86.820876,AL,Jefferson County,73
1.0,73.0,000166,0.0,U,1.0,2.0,59.0,33.531264,-86.800153,AL,Jefferson County,73
1.0,73.0,000166,1.0,U,1.0,2.0,59.0,33.531264,-86.800153,AL,Jefferson County,73
1.0,73.0,000166,5.0,U,1.0,2.0,59.0,33.531264,-86.800153,AL,Jefferson County,73
1.0,73.0,000168,3.0,U,1.0,2.0,59.0,33.544928,-86.752254,AL,Jefferson County,73
1.0,73.0,000168,7.0,U,1.0,2.0,59.0,33.544928,-86.752254,AL,Jefferson County,73
1.0,73.0,000717,1.0,U,1.0,2.0,459.0,33.405309,-86.766261,AL,Jefferson County,73
1.0,73.0,000717,5.0,U,1.0,2.0,459.0,33.405309,-86.766261,AL,Jefferson County,73
1.0,73.0,001381,1.0,U,1.0,2.0,65.0,33.392385,-86.784613,AL,Jefferson County,73
1.0,73.0,001382,1.0,U,1.0,2.0,459.0,33.391308,-86.790692,AL,Jefferson County,73
1.0,73.0,001383,1.0,U,1.0,2.0,65.0,33.392385,-86.784613,AL,Jefferson County,73
1.0,73.0,001384,1.0,U,1.0,2.0,459.0,33.391308,-86.790692,AL,Jefferson County,73
1.0,73.0,001401,1.0,U,1.0,2.0,65.0,33.412388,-86.806663,AL,Jefferson County,73
1.0,73.0,001402,1.0,U,1.0,2.0,65.0,33.412388,-86.806663,AL,Jefferson County,73
1.0,73.0,001462,1.0,U,1.0,2.0,459.0,33.377776,-86.82133,AL,Jefferson County,73
1.0,73.0,001463,1.0,U,1.0,2.0,459.0,33.377776,-86.82133,AL,Jefferson County,73
1.0,73.0,001464,1.0,U,1.0,2.0,459.0,33.377776,-86.82133,AL,Jefferson County,73
1.0,73.0,001464,5.0,U,1.0,2.0,459.0,33.377776,-86.82133,AL,Jefferson County,73
1.0,73.0,001465,1.0,U,1.0,2.0,459.0,33.377776,-86.82133,AL,Jefferson County,73
1.0,61.0,000210,1.0,R,5.0,4.0,87.0,31.026239,-86.022177,AL,Geneva County,97
1.0,61.0,000210,5.0,R,5.0,4.0,87.0,31.026239,-86.022177,AL,Geneva County,97
1.0,61.0,000220,1.0,R,4.0,4.0,167.0,31.063487,-85.688678,AL,Geneva County,97
1.0,61.0,000220,5.0,R,4.0,4.0,167.0,31.063487,-85.688678,AL,Geneva County,97
1.0,93.0,000230,3.0,R,1.0,2.0,22.0,33.9757,-87.745451,AL,Marion County,49
1.0,93.0,000230,7.0,R,1.0,2.0,22.0,33.9757,-87.745451,AL,Marion County,49
1.0,93.0,000320,3.0,R,1.0,2.0,22.0,34.048344,-87.932702,AL,Marion County,49
1.0,93.0,000320,7.0,R,1.0,2.0,22.0,34.048344,-87.932702,AL,Marion County,49
1.0,93.0,000957,3.0,R,1.0,2.0,22.0,34.079496,-87.996508,AL,Marion County,49
1.0,93.0,000957,7.0,R,1.0,2.0,22.0,34.079496,-87.996508,AL,Marion County,49
1.0,89.0,000406,1.0,U,1.0,2.0,565.0,34.703028,-86.68373,AL,Madison County,89
1.0,89.0,000406,5.0,U,1.0,2.0,565.0,34.703028,-86.68373,AL,Madison County,89
1.0,89.0,000408,1.0,U,1.0,2.0,565.0,34.757803,-86.565206,AL,Madison County,89
1.0,89.0,000408,5.0,U,1.0,2.0,565.0,34.757803,-86.565206,AL,Madison County,89
1.0,89.0,000412,1.0,U,1.0,2.0,565.0,34.709015,-86.665322,AL,Madison County,89
1.0,89.0,000412,5.0,U,1.0,2.0,565.0,34.709015,-86.665322,AL,Madison County,89
1.0,89.0,000415,1.0,U,1.0,2.0,565.0,34.661497,-86.786936,AL,Madison County,89
1.0,89.0,000415,5.0,U,1.0,2.0,565.0,34.661497,-86.786936,AL,Madison County,89
1.0,89.0,000416,1.0,U,1.0,2.0,565.0,34.670189,-86.760037,AL,Madison County,89
1.0,89.0,000416,5.0,U,1.0,2.0,565.0,34.670189,-86.760037,AL,Madison County,89
1.0,89.0,000417,1.0,U,1.0,2.0,565.0,34.696971,-86.698752,AL,Madison County,89
1.0,89.0,000417,5.0,U,1.0,2.0,565.0,34.696971,-86.698752,AL,Madison County,89
1.0,89.0,000418,1.0,U,1.0,2.0,565.0,34.717722,-86.635954,AL,Madison County,89
1.0,89.0,000418,5.0,U,1.0,2.0,565.0,34.717722,-86.635954,AL,Madison County,89
1.0,89.0,000420,1.0,U,1.0,2.0,565.0,34.723802,-86.612978,AL,Madison County,89
1.0,89.0,000420,5.0,U,1.0,2.0,565.0,34.723802,-86.612978,AL,Madison County,89
1.0,127.0,000430,3.0,R,1.0,2.0,22.0,33.666441,-87.069291,AL,Walker County,97
1.0,127.0,000430,7.0,R,1.0,2.0,22.0,33.666441,-87.069291,AL,Walker County,97
1.0,127.0,000856,3.0,R,1.0,2.0,22.0,33.713458,-87.154465,AL,Walker County,97
1.0,127.0,000856,7.0,R,1.0,2.0,22.0,33.713458,-87.154465,AL,Walker County,97
1.0,127.0,000864,3.0,R,1.0,2.0,22.0,33.885523,-87.45057,AL,Walker County,97
1.0,127.0,000864,7.0,R,1.0,2.0,22.0,33.885523,-87.45057,AL,Walker County,97
1.0,49.0,000640,1.0,U,3.0,4.0,35.0,34.438018,-85.755044,AL,DeKalb County,49
1.0,49.0,000640,5.0,U,3.0,4.0,35.0,34.438018,-85.755044,AL,DeKalb County,49
1.0,49.0,000830,1.0,R,1.0,2.0,59.0,34.656734,-85.604015,AL,DeKalb County,49
1.0,49.0,000830,5.0,R,1.0,2.0,59.0,34.656734,-85.604015,AL,DeKalb County,49
1.0,63.0,000699,1.0,R,5.0,4.0,7.0,32.976147,-87.790509,AL,Greene County,49
1.0,63.0,000699,5.0,R,5.0,4.0,7.0,32.976147,-87.790509,AL,Greene County,49
1.0,81.0,000705,1.0,U,3.0,4.0,147.0,32.574499,-85.498968,AL,Lee County,89
1.0,81.0,000705,5.0,U,3.0,4.0,147.0,32.574499,-85.498968,AL,Lee County,89
1.0,35.0,000730,1.0,R,1.0,2.0,65.0,31.354573,-87.074451,AL,Conecuh County,49
1.0,35.0,000730,5.0,R,1.0,2.0,65.0,31.354573,-87.074451,AL,Conecuh County,49
