tmc,date,hour,road,direction,state,county,start_latitude,start_longitude,end_latitude,end_longitude,tmc_length,road_order,f_system,thrulanes,MAADT,aadt,aadt_singl,aadt_combi,travel_time_all,travel_time_pass,travel_time_truck,speed_all,speed_pass,speed_truck,PCT_NOISE_AUTO,PCT_NOISE_MED_TRUCK,PCT_NOISE_HVY_TRUCK,PCT_NOISE_BUS,PCT_NOISE_MC
129+04132,2020-01-01,15,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.7,37.66,46.41,71.39946,71.475296,57.99956,0.06618774,0.0006308423,0.0008116803,0.00011341572,3.2927146e-05
129+04132,2020-01-01,16,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.44,38.44,,70.02496,70.02496,,0.060695704,0.00045209492,0.00056760124,0.00013641246,3.8153677e-05
129+04132,2020-01-01,17,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.23,40.23,,66.90926,66.90926,,0.06065807,0.00032822613,0.00036690247,0.00015000143,2.6655307e-05
129+04132,2020-01-01,18,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.34,39.34,,68.422966,68.422966,,0.06287307,0.00031515982,0.00033188472,0.00015993185,2.195143e-05
129+04132,2020-01-01,19,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.49,38.39,45.62,69.934,70.116165,59.003937,0.05450331,0.00029164043,0.00031359185,9.721347e-05,1.4111633e-05
129+04132,2020-01-01,20,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.15,39.15,,68.755035,68.755035,,0.04231713,0.00021794633,0.00027491554,8.310184e-05,4.703878e-06
129+04132,2020-01-01,21,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.27,39.88,43.42,66.842804,67.49648,61.99354,0.034278724,0.00013693511,0.00026393982,6.899021e-05,5.226531e-06
129+04132,2020-01-01,22,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.63,39.63,,67.92227,67.92227,,0.030511443,0.00016411307,0.00030679736,7.683e-05,6.79449e-06
129+04132,2020-01-01,23,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.51,37.88,42.39,69.89768,71.06018,63.499874,0.021648291,0.00012334612,0.00031934105,5.069735e-05,4.1812245e-06
129+04132,2020-01-02,0,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.22,41.0,46.82,65.30227,65.65267,57.49166,0.010639649,0.00010818919,0.00025662268,2.9268573e-05,6.79449e-06
129+04132,2020-01-02,1,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,43.25,40.62,45.75,62.237217,66.26685,58.836277,0.00610302,0.00019181368,0.00033240736,1.358898e-05,2.0906123e-06
129+04132,2020-01-02,2,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.03,40.65,40.48,65.60467,66.21795,66.49604,0.004029133,0.00029007246,0.00040610146,2.4042041e-05,4.1812245e-06
129+04132,2020-01-02,3,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.21,40.31,39.58,66.94254,66.776474,68.00807,0.0037421961,0.00023153532,0.0004301435,4.23349e-05,3.6585716e-06
129+04132,2020-01-02,4,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.93,38.53,41.63,67.411964,69.8614,64.659134,0.007299896,0.00030784268,0.0007385088,4.1289593e-05,6.79449e-06
129+04132,2020-01-02,5,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.29,40.3,41.07,66.80962,66.793045,65.54077,0.020846019,0.00043798328,0.0010609857,7.944327e-05,1.0453062e-05
129+04132,2020-01-02,6,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,42.02,42.12,41.0,64.05901,63.90692,65.65267,0.040456485,0.00064234063,0.0012632526,0.00014686552,1.8292858e-05
129+04132,2020-01-02,7,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.21,41.11,44.45,65.318115,65.477005,60.557022,0.06287307,0.00062404777,0.0013233576,0.00015888654,2.7700615e-05
129+04132,2020-01-02,8,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.69,40.44,43.95,66.152855,66.56181,61.245953,0.055597745,0.00063554617,0.0014216164,0.00014582022,5.069735e-05
129+04132,2020-01-02,9,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.07,40.14,42.02,67.17643,67.05928,64.05901,0.0440607,0.0008811931,0.0017163927,0.00013954837,1.8292858e-05
129+04132,2020-01-02,10,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.77,40.61,42.8,66.02305,66.28317,62.89158,0.044302166,0.0010442609,0.0020043745,0.00015731859,2.2996735e-05
129+04132,2020-01-02,11,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.28,41.18,44.35,65.20735,65.3657,60.693565,0.046681285,0.0012109872,0.002072842,0.00016097716,1.9338164e-05
129+04132,2020-01-02,12,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.1,41.04,42.11,65.492935,65.588684,63.9221,0.05285904,0.0012031475,0.0020163956,0.00012543674,2.5087349e-05
129+04132,2020-01-02,13,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.01,40.86,43.44,65.636665,65.877625,61.965,0.06157167,0.0011446102,0.001720574,0.00015940919,2.874592e-05
129+04132,2020-01-02,14,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,43.83,43.71,48.29,61.413635,61.582237,55.741554,0.06834734,0.00085819635,0.0012214403,0.00011341572,2.9268573e-05
129+04132,2020-01-02,15,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,79.18,78.63,90.65,33.99545,34.23324,29.693983,0.06618774,0.0006308423,0.0008116803,0.00011341572,3.2927146e-05
129+04132,2020-01-02,16,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,136.78,137.01,144.11,19.679482,19.646446,18.678507,0.060695704,0.00045209492,0.00056760124,0.00013641246,3.8153677e-05
129+04132,2020-01-02,17,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,125.79,125.44,130.8,21.398836,21.458542,20.579203,0.06065807,0.00032822613,0.00036690247,0.00015000143,2.6655307e-05
129+04132,2020-01-02,18,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,66.63,66.63,99.69,40.398613,40.398613,27.0013,0.06287307,0.00031515982,0.00033188472,0.00015993185,2.195143e-05
129+04132,2020-01-02,19,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.26,40.29,42.62,66.859406,66.80962,63.157192,0.05450331,0.00029164043,0.00031359185,9.721347e-05,1.4111633e-05
129+04132,2020-01-02,20,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.16,38.93,44.14,68.73748,69.14358,60.98232,0.04231713,0.00021794633,0.00027491554,8.310184e-05,4.703878e-06
129+04132,2020-01-02,21,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.38,38.33,41.41,70.13444,70.22592,65.00265,0.034278724,0.00013693511,0.00026393982,6.899021e-05,5.226531e-06
129+04132,2020-01-02,22,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.88,39.03,42.82,67.49648,68.96642,62.862206,0.030511443,0.00016411307,0.00030679736,7.683e-05,6.79449e-06
129+04132,2020-01-02,23,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.03,39.47,41.75,67.24356,68.19761,64.47328,0.021648291,0.00012334612,0.00031934105,5.069735e-05,4.1812245e-06
129+04132,2020-01-03,0,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.21,40.96,43.07,65.318115,65.71679,62.497322,0.010639649,0.00010818919,0.00025662268,2.9268573e-05,6.79449e-06
129+04132,2020-01-03,1,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.15,41.22,41.92,65.41335,65.30227,64.21182,0.00610302,0.00019181368,0.00033240736,1.358898e-05,2.0906123e-06
129+04132,2020-01-03,2,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.53,40.44,41.32,66.414,66.56181,65.14423,0.004029133,0.00029007246,0.00040610146,2.4042041e-05,4.1812245e-06
129+04132,2020-01-03,3,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,42.58,41.79,44.08,63.216526,64.411575,61.065327,0.0037421961,0.00023153532,0.0004301435,4.23349e-05,3.6585716e-06
129+04132,2020-01-03,4,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.04,40.93,42.62,65.588684,65.76495,63.157192,0.007299896,0.00030784268,0.0007385088,4.1289593e-05,6.79449e-06
129+04132,2020-01-03,5,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.75,40.56,40.83,66.05545,66.36488,65.926025,0.020846019,0.00043798328,0.0010609857,7.944327e-05,1.0453062e-05
129+04132,2020-01-03,6,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.58,41.53,43.8,64.736885,64.81482,61.4557,0.040456485,0.00064234063,0.0012632526,0.00014686552,1.8292858e-05
129+04132,2020-01-03,7,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.57,40.57,42.3,66.348526,66.348526,63.63498,0.06287307,0.00062404777,0.0013233576,0.00015888654,2.7700615e-05
129+04132,2020-01-03,8,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.9,40.64,45.67,65.813194,66.234245,58.93934,0.055597745,0.00063554617,0.0014216164,0.00014582022,5.069735e-05
129+04132,2020-01-03,9,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.75,40.65,44.43,66.05545,66.21795,60.584282,0.0440607,0.0008811931,0.0017163927,0.00013954837,1.8292858e-05
129+04132,2020-01-03,10,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,42.16,42.1,43.1,63.84629,63.937283,62.45382,0.044302166,0.0010442609,0.0020043745,0.00015731859,2.2996735e-05
129+04132,2020-01-03,11,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.45,40.25,42.37,66.54536,66.876015,63.529846,0.046681285,0.0012109872,0.002072842,0.00016097716,1.9338164e-05
129+04132,2020-01-03,12,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.88,40.83,42.5,65.84539,65.926025,63.33552,0.05285904,0.0012031475,0.0020163956,0.00012543674,2.5087349e-05
129+04132,2020-01-03,13,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.76,40.71,44.91,66.039246,66.12035,59.936752,0.06157167,0.0011446102,0.001720574,0.00015940919,2.874592e-05
129+04132,2020-01-03,14,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,58.57,58.41,53.63,45.957993,46.08388,50.191303,0.06834734,0.00085819635,0.0012214403,0.00011341572,2.9268573e-05
129+04132,2020-01-03,15,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,78.41,78.41,86.83,34.32929,34.32929,31.000341,0.06618774,0.0006308423,0.0008116803,0.00011341572,3.2927146e-05
129+04132,2020-01-03,16,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,105.73,105.73,99.25,25.458807,25.458807,27.121004,0.060695704,0.00045209492,0.00056760124,0.00013641246,3.8153677e-05
129+04132,2020-01-03,17,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,96.11,96.11,107.67,28.00707,28.00707,25.00009,0.06065807,0.00032822613,0.00036690247,0.00015000143,2.6655307e-05
129+04132,2020-01-03,18,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,43.63,43.63,43.42,61.695156,61.695156,61.99354,0.06287307,0.00031515982,0.00033188472,0.00015993185,2.195143e-05
129+04132,2020-01-03,19,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.46,39.46,42.73,68.21489,68.21489,62.99461,0.05450331,0.00029164043,0.00031359185,9.721347e-05,1.4111633e-05
129+04132,2020-01-03,20,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.07,38.93,46.82,68.89582,69.14358,57.49166,0.04231713,0.00021794633,0.00027491554,8.310184e-05,4.703878e-06
129+04132,2020-01-03,21,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.15,39.15,,68.755035,68.755035,,0.034278724,0.00013693511,0.00026393982,6.899021e-05,5.226531e-06
129+04132,2020-01-03,22,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.26,38.09,41.84,70.35441,70.6684,64.334595,0.030511443,0.00016411307,0.00030679736,7.683e-05,6.79449e-06
129+04132,2020-01-03,23,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.09,38.04,40.78,70.6684,70.76129,66.00686,0.021648291,0.00012334612,0.00031934105,5.069735e-05,4.1812245e-06
129+04132,2020-01-04,0,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.24,38.46,41.5,68.597336,69.98855,64.86168,0.022877542,0.00014285359,0.00019527692,4.5870416e-05,1.4416417e-05
129+04132,2020-01-04,1,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.94,39.67,42.73,67.39508,67.85378,62.99461,0.017285284,0.00015595942,0.00021362508,2.8832834e-05,1.3105833e-05
129+04132,2020-01-04,2,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.59,40.99,41.21,66.315834,65.66869,65.318115,0.013430858,0.00023197326,0.00020182984,3.0143417e-05,9.174083e-06
129+04132,2020-01-04,3,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.87,39.25,41.24,67.513405,68.579865,65.2706,0.008685236,0.00018741342,0.00020707217,3.6696332e-05,2.6211667e-06
129+04132,2020-01-04,4,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.78,40.87,41.41,66.00686,65.8615,65.00265,0.0074192123,0.00012450542,0.00031847175,2.35905e-05,2.6211667e-06
129+04132,2020-01-04,5,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.33,38.49,42.32,68.44037,69.934,63.604904,0.012972154,0.00015989116,0.0004508407,6.683975e-05,3.93175e-06
129+04132,2020-01-04,6,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.86,40.75,45.62,65.877625,66.05545,59.003937,0.0221541,0.0003473046,0.0005203016,0.000125816,7.8635e-06
129+04132,2020-01-04,7,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.64,39.5,41.01,67.905136,68.14581,65.636665,0.033064708,0.00039841735,0.0005740355,9.829375e-05,1.179525e-05
129+04132,2020-01-04,8,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,38.77,38.72,40.78,69.42893,69.518585,66.00686,0.038022645,0.00037482684,0.0006526705,8.911967e-05,1.7037584e-05
129+04132,2020-01-04,9,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,38.77,38.4,47.13,69.42893,70.09791,57.113506,0.04513649,0.00039055385,0.0006670869,0.000110089,1.179525e-05
129+04132,2020-01-04,10,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.55,39.5,40.93,68.05966,68.14581,65.76495,0.0571493,0.00038006916,0.00064873876,0.00012057367,1.7037584e-05
129+04132,2020-01-04,11,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.12,39.93,42.26,67.09271,67.411964,63.69521,0.064326055,0.00041283376,0.000613353,0.00010746784,1.5727e-05
129+04132,2020-01-04,12,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,41.76,41.76,42.73,64.45785,64.45785,62.99461,0.0683312,0.00044953008,0.0005569979,9.698317e-05,2.0969333e-05
129+04132,2020-01-04,13,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,43.72,43.72,45.38,61.568153,61.568153,59.31599,0.071502805,0.00040759143,0.000456083,0.000110089,1.5727e-05
129+04132,2020-01-04,14,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,42.26,42.21,42.73,63.69521,63.77066,62.99461,0.072567,0.00034992574,0.000377448,9.960434e-05,2.2279917e-05
129+04132,2020-01-04,15,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,42.05,41.99,44.64,64.013306,64.104774,60.299274,0.07282125,0.0002909495,0.00026342727,0.00012450542,1.5727e-05
129+04132,2020-01-04,16,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,43.79,43.79,46.72,61.469734,61.469734,57.614716,0.068304986,0.0002437685,0.00028701776,0.00012057367,1.8348166e-05
129+04132,2020-01-04,17,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,43.67,43.69,46.02,61.638645,61.610428,58.49108,0.062079713,0.00015071708,0.00023197326,0.00012057367,1.179525e-05
129+04132,2020-01-04,18,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,42.27,42.16,44.41,63.68014,63.84629,60.611565,0.051408943,0.00018217109,0.00017430758,0.000103536084,1.0484667e-05
129+04132,2020-01-04,19,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.84,40.66,46.29,65.90988,66.20166,58.149918,0.047154788,0.00014547475,0.00017954993,0.00011139958,1.3105833e-05
129+04132,2020-01-04,20,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.1,39.84,42.73,67.126175,67.56425,62.99461,0.038463,0.00011664192,0.00020182984,7.208208e-05,1.8348166e-05
129+04132,2020-01-04,21,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.42,39.14,46.59,68.28411,68.7726,57.77548,0.0329651,0.0001022255,0.00016120175,6.159742e-05,1.965875e-05
129+04132,2020-01-04,22,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,40.24,39.94,43.29,66.89263,67.39508,62.17971,0.030516934,9.698317e-05,0.0001651335,6.683975e-05,6.5529166e-06
129+04132,2020-01-04,23,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,99688.22417287511,91660.5,4803,6097,39.85,39.25,43.14,67.547295,68.579865,62.395912,0.024476456,0.00014285359,0.00023328383,6.5529166e-05,1.0484667e-05
